order_book_id,date,limit_down,low,iopv,high,open,limit_up,volume,prev_close,num_trades,close,total_turnover
159915.XSHE,2014-01-02,1.3139917300000001,1.45833607,1.3062,1.49728613,1.45833607,1.6049715900000001,119712743.78839381,1.274,2453.0,1.4961405400000003,177276800.33200002
159915.XSHE,2014-01-03,1.34606825,1.4869758200000003,1.3255,1.5213435200000003,1.4892670000000001,1.64621283,135271750.80851072,1.306,3131.0,1.51790675,203946100.63599998
159915.XSHE,2014-01-06,1.3666888700000002,1.4801022799999999,1.2958,1.51905234,1.5167611600000002,1.6702702200000004,128719655.66391873,1.325,2878.0,1.4881214100000004,194125818.19599998
159915.XSHE,2014-01-07,1.3391947100000001,1.47208315,1.3252,1.5213435200000003,1.4778111000000003,1.6370481100000003,143431412.0115948,1.299,2918.0,1.5167611600000002,214709449.371
159915.XSHE,2014-01-08,1.36554328,1.52592588,1.3759,1.5854965600000004,1.53738178,1.66797904,195249542.47067022,1.324,5574.0,1.5751862500000002,305167908.755
159915.XSHE,2014-01-09,1.41824042,1.5385273700000004,1.351,1.5969524600000002,1.5694583000000002,1.7332776700000003,145067420.23849833,1.375,4655.0,1.5442553200000002,228694312.598
159915.XSHE,2014-01-10,1.3896006700000003,1.5098876200000002,1.3243,1.56029358,1.5327994200000001,1.6989099700000003,98445390.16373567,1.348,3482.0,1.5167611600000002,151139857.054
159915.XSHE,2014-01-13,1.36554328,1.5133243900000002,1.3338,1.5465465000000003,1.5156155700000002,1.66797904,59974494.66464271,1.324,2865.0,1.53050824,91775913.3
159915.XSHE,2014-01-14,1.37699918,1.5236347000000001,1.3712,1.5774774299999998,1.53050824,1.6840173,88476500.48216295,1.336,3263.0,1.5774774299999998,137393994.814
159915.XSHE,2014-01-15,1.4193860100000002,1.5706038900000001,1.3855,1.5980980500000002,1.5786230200000002,1.7355688500000002,156608848.54426166,1.377,3993.0,1.5923701000000001,248781124.0
159915.XSHE,2014-01-16,1.43313309,1.56029358,1.3645,1.6026804100000003,1.58893333,1.7516071100000004,88298629.3428973,1.39,3427.0,1.5706038900000001,139537287.67
159915.XSHE,2014-01-17,1.4136580600000002,1.5580024000000003,1.3665,1.5843509700000002,1.5637303500000002,1.72754972,119123801.56715359,1.371,2578.0,1.5660215300000002,187355048.47599998
159915.XSHE,2014-01-20,1.4090757,1.52592588,1.3411,1.5706038900000001,1.55914799,1.7229673600000002,96450995.60072114,1.367,3281.0,1.53738178,149542813.05
159915.XSHE,2014-01-21,1.38387272,1.53394501,1.3769999999999998,1.5820597900000002,1.5350906000000002,1.6908908400000002,122839901.85090663,1.342,3276.0,1.5820597900000002,191916607.13900003
