order_book_id,date,limit_down,low,iopv,high,open,limit_up,volume,prev_close,num_trades,close,total_turnover
510180.XSHG,2014-01-02,1.8293555999999997,2.0115864,2.006,2.0317224,2.0317224,2.2361028,87333188.38445947,2.019,1159.0,2.023668,163037050.0
510180.XSHG,2014-01-03,1.8213012,1.9803755999999997,1.977,2.0146067999999997,2.0146067999999997,2.2260348,47021113.08338534,2.01,1360.0,1.9924572,86657560.0
510180.XSHG,2014-01-06,1.7931107999999998,1.9431239999999999,1.936,1.9904435999999996,1.9904435999999996,2.1918036,178656973.2845165,1.979,2616.0,1.9541987999999997,322719284.0
510180.XSHG,2014-01-07,1.7588795999999998,1.9360764,1.937,1.9582259999999998,1.9411104,2.1495179999999996,61585527.630402796,1.941,977.0,1.9481579999999998,111010674.0
510180.XSHG,2014-01-08,1.7538455999999998,1.9401035999999996,1.942,1.9723211999999999,1.9511784,2.1434772,63349660.07181489,1.935,1559.0,1.9552055999999998,114710834.0
510180.XSHG,2014-01-09,1.7598864,1.9380899999999999,1.926,1.9703075999999997,1.9541987999999997,2.1505248,98898110.03787588,1.942,1466.0,1.9421172,179180197.0
510180.XSHG,2014-01-10,1.7478048,1.9250015999999999,1.914,1.9431239999999999,1.9390967999999997,2.1364295999999996,60212194.74034148,1.929,1317.0,1.9270152,107690659.0
510180.XSHG,2014-01-13,1.7347164,1.9159403999999998,1.909,1.9431239999999999,1.928022,2.1193139999999997,229468812.285654,1.914,1648.0,1.9209744,408671513.0
510180.XSHG,2014-01-14,1.7286755999999996,1.9068791999999999,1.921,1.9390967999999997,1.9209744,2.1132732,51332003.14165012,1.908,1130.0,1.9310424,91304755.0
510180.XSHG,2014-01-15,1.7377367999999997,1.9139267999999998,1.917,1.9330559999999997,1.9270152,2.124348,46946297.78385729,1.918,924.0,1.9270152,83670035.0
510180.XSHG,2014-01-16,1.7347164,1.9189607999999998,1.919,1.9431239999999999,1.9260084,2.1193139999999997,85414541.83880016,1.914,1282.0,1.9290287999999998,152480315.0
510180.XSHG,2014-01-17,1.7357231999999998,1.9038587999999999,1.893,1.9260084,1.9250015999999999,2.1223343999999997,92880605.56966986,1.916,1658.0,1.9038587999999999,164327680.0
510180.XSHG,2014-01-20,1.7135736,1.8857364,1.879,1.907886,1.9048655999999997,2.094144,44215155.11045536,1.891,1301.0,1.8947975999999997,77673839.0
510180.XSHG,2014-01-21,1.7055192,1.8947975999999997,1.9,1.9209744,1.8947975999999997,2.0840759999999996,85891924.32724282,1.882,1345.0,1.9119131999999999,152037448.0
510180.XSHG,2014-01-22,1.7206211999999999,1.9129199999999997,1.948,1.9612464,1.9129199999999997,2.1032051999999997,106930902.93622896,1.899,2067.0,1.9592327999999999,192133341.0
510180.XSHG,2014-01-23,1.7629067999999997,1.9451375999999998,1.936,1.9612464,1.9582259999999998,2.1555587999999997,101421154.21215872,1.946,1256.0,1.9501715999999996,183537470.0
510180.XSHG,2014-01-24,1.7548523999999999,1.9390967999999997,1.943,1.9703075999999997,1.9451375999999998,2.1454907999999997,54423792.13676777,1.937,1313.0,1.9572191999999997,98442907.0
510180.XSHG,2014-01-27,1.7618999999999998,1.9250015999999999,1.918,1.9481579999999998,1.9481579999999998,2.1525383999999996,31113675.57742686,1.944,1194.0,1.9320491999999998,55684381.0
