order_book_id,date,limit_down,low,iopv,high,open,limit_up,volume,prev_close,num_trades,close,total_turnover
518880.XSHG,2014-01-02,0.807338732,0.899098934,2.412,0.909294512,0.902119846,0.9870829959999999,8319385.653450281,2.376,347.0,0.907406442,7533644.0
518880.XSHG,2014-01-03,0.8167790820000002,0.9104273540000001,2.435,0.91571395,0.9111825820000001,0.9980338019999999,10128520.801608883,2.403,391.0,0.915336336,9242622.0
518880.XSHG,2014-01-06,0.823953748,0.91004974,2.449,0.92326623,0.920245318,1.006718924,12755687.970755713,2.424,446.0,0.91949009,11737239.0
518880.XSHG,2014-01-07,0.827729888,0.91760202,2.451,0.92326623,0.91760202,1.011627906,13584929.864016013,2.435,361.0,0.9221333880000001,12525110.0
518880.XSHG,2014-01-08,0.829995572,0.91004974,2.415,0.914581108,0.9119378100000001,1.0142712040000001,5549940.762193987,2.442,281.0,0.9104273540000001,5062486.0
518880.XSHG,2014-01-09,0.81942238,0.91004974,2.42,0.91382588,0.91004974,1.0014323280000001,5371981.060638762,2.411,192.0,0.910804968,4891434.0
518880.XSHG,2014-01-10,0.8197999939999999,0.911560196,2.434,0.918357248,0.911560196,1.001809942,6701059.321012766,2.412,207.0,0.916846792,6131493.0
518880.XSHG,2014-01-13,0.8250865900000001,0.9236438440000001,2.459,0.9281752120000001,0.925531914,1.0086069940000002,6195929.182419764,2.428,367.0,0.924399072,5742569.0
518880.XSHG,2014-01-14,0.8318836420000001,0.924776686,2.456,0.927797598,0.924776686,1.016914502,4649586.4899774,2.448,270.0,0.92704237,4308451.0
518880.XSHG,2014-01-15,0.83452694,0.916469178,2.437,0.9221333880000001,0.92137816,1.019935414,4774849.46383549,2.455,190.0,0.9191124760000001,4386132.0
518880.XSHG,2014-01-16,0.827352274,0.91760202,2.438,0.921000546,0.918357248,1.0108726780000001,5527126.434383,2.434,163.0,0.920245318,5077849.0
518880.XSHG,2014-01-17,0.828107502,0.9191124760000001,2.448,0.9206229320000001,0.9191124760000001,1.012383134,6795640.135611649,2.437,194.0,0.91949009,6252599.0
518880.XSHG,2014-01-20,0.827729888,0.919867704,2.468,0.9293080539999999,0.919867704,1.011627906,5186789.097998012,2.435,276.0,0.928552826,4815435.0
518880.XSHG,2014-01-21,0.835659782,0.925531914,2.459,0.927797598,0.927419984,1.02144587,5185626.533876245,2.459,252.0,0.925531914,4805098.0
518880.XSHG,2014-01-22,0.833016484,0.916846792,2.434,0.921000546,0.921000546,1.0180473440000002,4047542.463912447,2.451,304.0,0.918357248,3718872.0
518880.XSHG,2014-01-23,0.8265970460000001,0.9119378100000001,2.4290000000000003,0.916846792,0.916846792,1.0101174499999999,7146186.320947462,2.432,275.0,0.916091564,6528089.0
518880.XSHG,2014-01-24,0.8243313620000001,0.9281752120000001,2.465,0.9323289659999999,0.9281752120000001,1.007851766,8970810.848486964,2.426,405.0,0.92893044,8341125.0
